arm	seed	http	secs	edge	cagr	sharpe	calmar	trades	spyBaseline
MRM	42	200	350	0.588	5.519	0.248	0.129	2420	FAIL
Random	1	200	243	1.172	9.717	0.543	0.254	2020	PASS
Random	2	200	245	1.11	9.078	0.383	0.205	2007	FAIL
Random	3	200	248	0.804	6.247	0.377	0.154	2008	FAIL
Random	4	200	261	1.312	10.095	0.554	0.223	1974	PASS
Random	5	200	253	1.019	8.488	0.483	0.217	1961	FAIL
Random	6	200	243	1.109	9.018	0.511	0.2	2050	FAIL
Random	7	200	245	1.434	12.401	0.497	0.389	1975	FAIL
Random	8	200	248	1.202	10.1	0.557	0.254	2044	FAIL
Random	9	200	247	1.376	10.997	0.597	0.316	1994	PASS
Random	10	200	246	1.29	10.793	0.574	0.284	2014	PASS
