symbol,low,high,startDate,endDate,orderBlockType
QQQ,590.13,602.69,2025-10-14,None,BULLISH
QQQ,588.5,595.115,2025-09-25,2025-10-09,BULLISH
QQQ,559.535,565.965,2025-09-02,None,BULLISH
QQQ,551.68,559.02,2025-08-01,None,BULLISH
QQQ,523.65,532.17,2025-06-23,None,BULLISH
QQQ,427.93,439.08,2025-04-21,None,BULLISH
QQQ,490.42,493.62,2025-03-25,2025-05-09,BEARISH
QQQ,536.04,540.0,2025-02-18,2025-06-23,BEARISH
QQQ,510.15,517.99,2025-01-27,2025-02-26,BULLISH
QQQ,499.7,506.02,2025-01-13,2025-02-26,BULLISH
QQQ,524.19,530.05,2024-12-24,2025-01-21,BEARISH
QQQ,494.49,503.33,2024-11-15,2025-03-03,BULLISH
QQQ,483.75,492.43,2024-10-31,2025-03-07,BULLISH
QQQ,493.85,501.35,2024-10-29,2024-11-05,BEARISH
QQQ,485.05,494.25,2024-10-23,2024-10-30,BULLISH
QQQ,478.99,484.545,2024-10-03,2025-03-07,BULLISH
QQQ,448.19,461.22,2024-09-06,2025-04-03,BULLISH
QQQ,490.725,503.28,2024-07-11,2024-11-05,BEARISH
QQQ,473.82,479.93,2024-06-24,2024-07-23,BULLISH
QQQ,443.055,452.48,2024-05-31,2024-08-01,BULLISH
QQQ,413.07,422.75,2024-04-19,None,BULLISH
QQQ,437.96,446.33,2024-04-11,2024-05-13,BEARISH
QQQ,421.63,425.7,2024-02-21,2024-04-17,BULLISH
QQQ,416.79,422.8699,2024-01-31,2024-04-18,BULLISH
QQQ,396.06,399.59,2024-01-04,None,BULLISH
QQQ,384.21,388.5,2023-12-05,None,BULLISH
QQQ,342.35,350.07,2023-10-26,None,BULLISH
QQQ,367.5,373.74,2023-10-12,2023-11-06,BEARISH
QQQ,373.89,378.27,2023-09-14,2023-11-09,BEARISH
QQQ,382.34,384.88,2023-07-31,2023-11-13,BEARISH
QQQ,357.59,364.84,2023-06-26,2023-09-25,BULLISH
QQQ,309.89,314.97,2023-04-25,None,BULLISH
QQQ,317.64,321.42,2023-04-18,2023-04-27,BEARISH
QQQ,304.774,308.2,2023-03-28,None,BULLISH
QQQ,285.19,294.47,2023-03-13,None,BULLISH
QQQ,304.2,309.27,2023-02-15,2023-03-20,BEARISH
QQQ,259.73,265.47,2022-12-28,None,BULLISH
QQQ,285.91,296.875,2022-12-13,2023-01-31,BEARISH
QQQ,279.17,283.35,2022-11-29,2022-12-06,BULLISH
QQQ,260.1,264.5,2022-11-03,2022-12-27,BULLISH
QQQ,254.26,270.17,2022-10-13,None,BULLISH
QQQ,278.99,282.85,2022-10-04,2022-10-24,BEARISH
QQQ,308.18,311.08,2022-09-12,2023-02-01,BEARISH
QQQ,280.02,288.05,2022-07-13,2022-09-21,BULLISH
QQQ,302.831886193332,313.970885708259,2022-06-02,2022-07-28,BEARISH
QQQ,284.965309860465,292.840533309849,2022-05-25,2022-06-10,BULLISH
QQQ,365.374435472931,371.133629300935,2022-03-29,2023-07-11,BEARISH
QQQ,316.463428513211,325.575023210362,2022-03-14,2022-04-25,BULLISH
QQQ,339.29225986603,348.952145272529,2022-03-03,2022-03-17,BEARISH
QQQ,363.152874644621,368.949802780719,2022-02-02,2022-03-28,BEARISH
QQQ,375.529291292885,388.259604671728,2022-01-13,2023-11-17,BEARISH
QQQ,376.296898285971,380.314373847188,2021-12-20,2022-01-12,BULLISH
QQQ,397.436369954703,406.914548871932,2021-11-22,2023-12-14,BEARISH
QQQ,385.827591995155,393.62319503317,2021-11-10,2021-11-30,BULLISH
QQQ,348.781054441573,357.283538470264,2021-10-04,2022-01-20,BULLISH
QQQ,368.643414672531,372.118083204163,2021-09-24,2021-10-18,BEARISH
QQQ,357.97354123524,363.661975105296,2021-08-19,2021-09-28,BULLISH
QQQ,360.410020777484,363.154789567931,2021-07-30,2021-08-17,BULLISH
QQQ,350.097248184392,353.219919924249,2021-07-19,2021-10-01,BULLISH
QQQ,314.192451972461,320.748475314283,2021-05-19,2022-04-28,BULLISH
QQQ,334.655290827592,340.515879026746,2021-04-29,2021-06-11,BEARISH
QQQ,305.341721127315,310.800206561503,2021-03-25,2022-05-06,BULLISH
QQQ,331.70135211781,335.520967496327,2021-02-16,2021-04-08,BEARISH
QQQ,310.291663840301,318.188148173349,2021-01-29,2021-02-24,BULLISH
QQQ,308.128868638958,312.633038461938,2021-01-15,2021-03-02,BULLISH
QQQ,295.201039430662,300.736863545585,2020-12-10,2022-05-10,BULLISH
QQQ,277.900351185992,283.881715062866,2020-11-10,2022-06-10,BULLISH
QQQ,290.269303457082,294.170722541724,2020-10-13,2020-11-25,BEARISH
QQQ,270.789936669866,279.505839210163,2020-10-02,2020-10-27,BULLISH
QQQ,293.586584103238,300.123036395071,2020-09-02,2020-11-30,BEARISH
QQQ,261.685532524638,267.430886203239,2020-08-11,2020-09-22,BULLISH
QQQ,248.523629346983,254.071208372276,2020-07-24,None,BULLISH
QQQ,234.709069813411,240.147872779384,2020-06-29,None,BULLISH
QQQ,228.501595246084,236.379258572061,2020-06-15,None,BULLISH
QQQ,201.018619432152,208.452053623204,2020-04-21,None,BULLISH
QQQ,208.216335896808,215.072491916309,2020-03-04,2020-04-28,BEARISH
QQQ,232.331091551602,233.926920969934,2020-02-19,2020-06-02,BEARISH
QQQ,213.93965004527,216.008317809775,2020-01-27,2020-02-24,BULLISH
